Predicted image classes for JESSICA HAMRICK's classifier
Accuracy score: 0.213377296279

filename	predicted_class
-----------------------------------------
airplanes_0534.jpg	airplanes
airplanes_0535.jpg	airplanes
airplanes_0536.jpg	airplanes
airplanes_0537.jpg	airplanes
airplanes_0538.jpg	airplanes
airplanes_0539.jpg	airplanes
airplanes_0540.jpg	airplanes
airplanes_0541.jpg	airplanes
airplanes_0542.jpg	airplanes
airplanes_0543.jpg	airplanes
airplanes_0544.jpg	airplanes
airplanes_0545.jpg	airplanes
airplanes_0546.jpg	airplanes
airplanes_0547.jpg	airplanes
airplanes_0548.jpg	airplanes
airplanes_0549.jpg	ostrich
airplanes_0550.jpg	airplanes
airplanes_0551.jpg	airplanes
airplanes_0552.jpg	dolphin
airplanes_0553.jpg	airplanes
airplanes_0554.jpg	killer-whale
airplanes_0555.jpg	airplanes
airplanes_0556.jpg	airplanes
airplanes_0557.jpg	swan
airplanes_0558.jpg	airplanes
airplanes_0559.jpg	airplanes
airplanes_0560.jpg	airplanes
airplanes_0561.jpg	airplanes
airplanes_0562.jpg	airplanes
airplanes_0563.jpg	airplanes
airplanes_0564.jpg	airplanes
airplanes_0565.jpg	airplanes
airplanes_0566.jpg	airplanes
airplanes_0567.jpg	airplanes
airplanes_0568.jpg	airplanes
airplanes_0569.jpg	blimp
airplanes_0570.jpg	airplanes
airplanes_0571.jpg	airplanes
airplanes_0572.jpg	airplanes
airplanes_0573.jpg	airplanes
airplanes_0574.jpg	airplanes
airplanes_0575.jpg	airplanes
airplanes_0576.jpg	airplanes
airplanes_0577.jpg	airplanes
airplanes_0578.jpg	airplanes
airplanes_0579.jpg	airplanes
airplanes_0580.jpg	airplanes
airplanes_0581.jpg	airplanes
airplanes_0582.jpg	airplanes
airplanes_0583.jpg	airplanes
airplanes_0584.jpg	dolphin
airplanes_0585.jpg	airplanes
airplanes_0586.jpg	swan
airplanes_0587.jpg	airplanes
airplanes_0588.jpg	airplanes
airplanes_0589.jpg	airplanes
airplanes_0590.jpg	airplanes
airplanes_0591.jpg	airplanes
airplanes_0592.jpg	airplanes
airplanes_0593.jpg	airplanes
airplanes_0594.jpg	airplanes
airplanes_0595.jpg	airplanes
airplanes_0596.jpg	airplanes
airplanes_0597.jpg	airplanes
airplanes_0598.jpg	airplanes
airplanes_0599.jpg	airplanes
airplanes_0600.jpg	airplanes
airplanes_0601.jpg	airplanes
airplanes_0602.jpg	airplanes
airplanes_0603.jpg	airplanes
airplanes_0604.jpg	airplanes
airplanes_0605.jpg	airplanes
airplanes_0606.jpg	airplanes
airplanes_0607.jpg	airplanes
airplanes_0608.jpg	airplanes
airplanes_0609.jpg	airplanes
airplanes_0610.jpg	airplanes
airplanes_0611.jpg	airplanes
airplanes_0612.jpg	airplanes
airplanes_0613.jpg	airplanes
airplanes_0614.jpg	airplanes
airplanes_0615.jpg	horse
airplanes_0616.jpg	llama
airplanes_0617.jpg	bear
airplanes_0618.jpg	horse
airplanes_0619.jpg	killer-whale
airplanes_0620.jpg	airplanes
airplanes_0621.jpg	airplanes
airplanes_0622.jpg	airplanes
airplanes_0623.jpg	killer-whale
airplanes_0624.jpg	airplanes
airplanes_0625.jpg	airplanes
airplanes_0626.jpg	airplanes
airplanes_0627.jpg	airplanes
airplanes_0628.jpg	airplanes
airplanes_0629.jpg	airplanes
airplanes_0630.jpg	airplanes
airplanes_0631.jpg	airplanes
airplanes_0632.jpg	airplanes
airplanes_0633.jpg	airplanes
airplanes_0634.jpg	airplanes
airplanes_0635.jpg	airplanes
airplanes_0636.jpg	airplanes
airplanes_0637.jpg	airplanes
airplanes_0638.jpg	airplanes
airplanes_0639.jpg	airplanes
airplanes_0640.jpg	airplanes
airplanes_0641.jpg	airplanes
airplanes_0642.jpg	airplanes
airplanes_0643.jpg	airplanes
airplanes_0644.jpg	airplanes
airplanes_0645.jpg	airplanes
airplanes_0646.jpg	airplanes
airplanes_0647.jpg	airplanes
airplanes_0648.jpg	airplanes
airplanes_0649.jpg	airplanes
airplanes_0650.jpg	airplanes
airplanes_0651.jpg	airplanes
airplanes_0652.jpg	airplanes
airplanes_0653.jpg	airplanes
airplanes_0654.jpg	airplanes
airplanes_0655.jpg	airplanes
airplanes_0656.jpg	airplanes
airplanes_0657.jpg	airplanes
airplanes_0658.jpg	airplanes
airplanes_0659.jpg	airplanes
airplanes_0660.jpg	airplanes
airplanes_0661.jpg	airplanes
airplanes_0662.jpg	airplanes
airplanes_0663.jpg	airplanes
airplanes_0664.jpg	blimp
airplanes_0665.jpg	airplanes
airplanes_0666.jpg	airplanes
airplanes_0667.jpg	airplanes
airplanes_0668.jpg	airplanes
airplanes_0669.jpg	airplanes
airplanes_0670.jpg	airplanes
airplanes_0671.jpg	airplanes
airplanes_0672.jpg	airplanes
airplanes_0673.jpg	airplanes
airplanes_0674.jpg	airplanes
airplanes_0675.jpg	airplanes
airplanes_0676.jpg	airplanes
airplanes_0677.jpg	airplanes
airplanes_0678.jpg	airplanes
airplanes_0679.jpg	airplanes
airplanes_0680.jpg	airplanes
airplanes_0681.jpg	airplanes
airplanes_0682.jpg	airplanes
airplanes_0683.jpg	airplanes
airplanes_0684.jpg	airplanes
airplanes_0685.jpg	airplanes
airplanes_0686.jpg	airplanes
airplanes_0687.jpg	airplanes
airplanes_0688.jpg	airplanes
airplanes_0689.jpg	airplanes
airplanes_0690.jpg	airplanes
airplanes_0691.jpg	airplanes
airplanes_0692.jpg	airplanes
airplanes_0693.jpg	airplanes
airplanes_0694.jpg	airplanes
airplanes_0695.jpg	airplanes
airplanes_0696.jpg	airplanes
airplanes_0697.jpg	airplanes
airplanes_0698.jpg	airplanes
airplanes_0699.jpg	airplanes
airplanes_0700.jpg	airplanes
airplanes_0701.jpg	airplanes
airplanes_0702.jpg	airplanes
airplanes_0703.jpg	airplanes
airplanes_0704.jpg	airplanes
airplanes_0705.jpg	airplanes
airplanes_0706.jpg	airplanes
airplanes_0707.jpg	dolphin
airplanes_0708.jpg	airplanes
airplanes_0709.jpg	airplanes
airplanes_0710.jpg	dolphin
airplanes_0711.jpg	airplanes
airplanes_0712.jpg	airplanes
airplanes_0713.jpg	goose
airplanes_0714.jpg	airplanes
airplanes_0715.jpg	airplanes
airplanes_0716.jpg	airplanes
airplanes_0717.jpg	ostrich
airplanes_0718.jpg	airplanes
airplanes_0719.jpg	elephant
airplanes_0720.jpg	airplanes
airplanes_0721.jpg	airplanes
airplanes_0722.jpg	airplanes
airplanes_0723.jpg	airplanes
airplanes_0724.jpg	airplanes
airplanes_0725.jpg	airplanes
airplanes_0726.jpg	gorilla
airplanes_0727.jpg	airplanes
airplanes_0728.jpg	airplanes
airplanes_0729.jpg	airplanes
airplanes_0730.jpg	airplanes
airplanes_0731.jpg	airplanes
airplanes_0732.jpg	airplanes
airplanes_0733.jpg	porcupine
airplanes_0734.jpg	airplanes
airplanes_0735.jpg	airplanes
airplanes_0736.jpg	airplanes
airplanes_0737.jpg	airplanes
airplanes_0738.jpg	octopus
airplanes_0739.jpg	airplanes
airplanes_0740.jpg	airplanes
airplanes_0741.jpg	airplanes
airplanes_0742.jpg	airplanes
airplanes_0743.jpg	airplanes
